caries	anciano	pan	queso	ataud	helado	chocolate	barco	sexo	capa	edad
1	1	1	1	1	1	0	0	1	0	9449
1	1	1	1	0	0	0	0	1	0	8084
1	1	1	0	1	0	0	0	0	0	8497
1	1	1	1	1	0	1	0	0	1	9507
1	0	1	0	0	0	0	0	1	0	1760
1	1	1	0	1	1	1	0	0	0	8958
1	1	0	0	1	0	0	0	0	0	8256
1	0	1	0	1	0	0	0	1	1	6247
1	1	1	0	0	0	1	0	0	0	8774
1	1	1	0	1	0	1	0	0	1	7941
1	0	1	0	0	1	0	0	1	1	5739
1	0	0	1	0	0	0	0	0	1	5096
1	0	1	1	1	1	0	0	1	1	3741
1	0	0	0	1	1	1	0	1	1	6966
1	1	0	0	0	0	1	0	1	1	8395
1	0	1	0	1	0	0	0	0	1	6136
1	0	0	0	0	0	0	0	0	0	4948
1	1	1	1	0	0	1	0	0	1	8368
1	0	1	1	0	0	0	0	0	0	3644
1	1	1	1	0	1	1	0	1	0	9570
1	0	1	1	1	0	1	0	1	1	3963
1	1	0	0	1	1	0	0	0	0	8515
1	0	1	1	0	1	0	0	0	1	1060
1	0	0	1	1	1	0	0	0	1	1165
1	0	0	0	0	1	0	0	0	1	6292
1	1	0	0	0	1	0	0	1	1	8116
1	0	1	1	0	0	0	0	1	1	6997
1	1	1	1	0	1	0	0	1	0	7003
1	1	1	1	1	0	0	0	1	1	9753
1	0	1	0	1	0	1	0	0	1	2308
1	1	1	0	1	0	1	0	0	1	9047
1	0	0	0	0	0	0	0	0	1	1369
1	0	1	0	1	1	1	0	1	1	2051
1	1	0	1	1	1	0	0	0	0	9962
1	1	1	0	1	1	0	0	1	0	7216
1	0	1	0	0	1	0	0	1	1	204
1	0	0	0	0	0	0	0	0	0	449
1	1	1	1	1	1	0	0	0	0	7875
1	1	1	0	0	0	0	0	1	1	8992
1	1	0	0	1	1	0	0	1	0	8678
1	1	1	1	0	0	1	0	1	1	9183
1	0	1	1	1	1	0	0	1	0	3723
1	0	1	0	1	0	1	0	1	1	4324
1	1	1	1	1	0	0	0	1	0	9536
1	0	0	0	0	0	1	0	0	1	6686
1	0	1	0	1	0	0	0	0	0	5025
1	1	0	0	1	0	0	0	1	1	9167
1	0	0	0	1	0	1	0	0	0	5304
1	1	1	0	0	1	1	0	0	1	7347
1	0	1	1	1	0	1	1	0	0	3375
1	1	0	1	1	1	1	0	1	0	8348
1	1	1	0	1	0	0	0	1	1	7767
